premise	hypothesis	entailment	reasoning_type	function_name	g_id	answer	correct
Sophia is swimming.	Sophia is moving.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Sophia is swimming.	Sophia is not stationary.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Sophia is swimming.	Sophia is not in motion.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Sophia is swimming.	Sophia is not moving.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Sophia is swimming.	Sophia is stationary.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Sophia is swimming.	Sophia is thinking.	neutral	motion	motion_one_hop_jerund	2	neutral	1
Sophia is swimming.	Sophia is meditating.	neutral	motion	motion_one_hop_jerund	2	contradiction	0
Sophia is walking.	Sophia is in motion.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Sophia is walking.	Sophia is moving.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Sophia is walking.	Sophia is not stationary.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Sophia is walking.	Sophia is not in motion.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Sophia is walking.	Sophia is not moving.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Sophia is walking.	Sophia is stationary.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Sophia is walking.	Sophia is thinking.	neutral	motion	motion_one_hop_jerund	2	neutral	1
Sophia is walking.	Sophia is meditating.	neutral	motion	motion_one_hop_jerund	2	neutral	1
Sophia is running.	Sophia is in motion.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Sophia is running.	Sophia is moving.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Sophia is running.	Sophia is not stationary.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Sophia is running.	Sophia is not in motion.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Sophia is running.	Sophia is not moving.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Sophia is running.	Sophia is stationary.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Sophia is running.	Sophia is thinking.	neutral	motion	motion_one_hop_jerund	2	neutral	1
Sophia is running.	Sophia is meditating.	neutral	motion	motion_one_hop_jerund	2	contradiction	0
Emma is cycling.	Emma is in motion.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Emma is cycling.	Emma is moving.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Emma is cycling.	Emma is not stationary.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Emma is cycling.	Emma is not in motion.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Emma is cycling.	Emma is not moving.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Emma is cycling.	Emma is stationary.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Emma is cycling.	Emma is thinking.	neutral	motion	motion_one_hop_jerund	2	neutral	1
Emma is cycling.	Emma is meditating.	neutral	motion	motion_one_hop_jerund	2	contradiction	0
Emma is jumping.	Emma is in motion.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Emma is jumping.	Emma is moving.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Emma is jumping.	Emma is not stationary.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Emma is jumping.	Emma is not in motion.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Emma is jumping.	Emma is not moving.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Emma is jumping.	Emma is stationary.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Emma is jumping.	Emma is thinking.	neutral	motion	motion_one_hop_jerund	2	contradiction	0
Emma is jumping.	Emma is meditating.	neutral	motion	motion_one_hop_jerund	2	contradiction	0
Emma is swimming.	Emma is in motion.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Emma is swimming.	Emma is moving.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Emma is swimming.	Emma is not stationary.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Emma is swimming.	Emma is not in motion.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Emma is swimming.	Emma is not moving.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Emma is swimming.	Emma is stationary.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Emma is swimming.	Emma is thinking.	neutral	motion	motion_one_hop_jerund	2	neutral	1
Emma is swimming.	Emma is meditating.	neutral	motion	motion_one_hop_jerund	2	contradiction	0
Emma is walking.	Emma is in motion.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Emma is walking.	Emma is moving.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Emma is walking.	Emma is not stationary.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Emma is walking.	Emma is not in motion.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Emma is walking.	Emma is not moving.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Emma is walking.	Emma is stationary.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Emma is walking.	Emma is thinking.	neutral	motion	motion_one_hop_jerund	2	neutral	1
Emma is walking.	Emma is meditating.	neutral	motion	motion_one_hop_jerund	2	neutral	1
Emma is running.	Emma is in motion.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Emma is running.	Emma is moving.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Emma is running.	Emma is not stationary.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Emma is running.	Emma is not in motion.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Emma is running.	Emma is not moving.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Emma is running.	Emma is stationary.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Emma is running.	Emma is thinking.	neutral	motion	motion_one_hop_jerund	2	neutral	1
Emma is running.	Emma is meditating.	neutral	motion	motion_one_hop_jerund	2	contradiction	0
James is not in motion.	James is not moving.	entailment	motion	non_motion_one_hop	0	entailment	1
James is not in motion.	James is stationary.	entailment	motion	non_motion_one_hop	0	entailment	1
James is not in motion.	James is in motion.	contradiction	motion	non_motion_one_hop	1	contradiction	1
James is not in motion.	James is moving.	contradiction	motion	non_motion_one_hop	1	contradiction	1
James is not in motion.	James is not stationary.	contradiction	motion	non_motion_one_hop	1	entailment	0
James is not in motion.	James is thinking.	neutral	motion	non_motion_one_hop	2	neutral	1
James is not in motion.	James is meditating.	neutral	motion	non_motion_one_hop	2	neutral	1
James is not moving.	James is not in motion.	entailment	motion	non_motion_one_hop	0	entailment	1
James is not moving.	James is stationary.	entailment	motion	non_motion_one_hop	0	entailment	1
James is not moving.	James is in motion.	contradiction	motion	non_motion_one_hop	1	contradiction	1
James is not moving.	James is moving.	contradiction	motion	non_motion_one_hop	1	contradiction	1
James is not moving.	James is not stationary.	contradiction	motion	non_motion_one_hop	1	entailment	0
James is not moving.	James is thinking.	neutral	motion	non_motion_one_hop	2	neutral	1
James is not moving.	James is meditating.	neutral	motion	non_motion_one_hop	2	neutral	1
James is stationary.	James is not in motion.	entailment	motion	non_motion_one_hop	0	entailment	1
James is stationary.	James is not moving.	entailment	motion	non_motion_one_hop	0	entailment	1
James is stationary.	James is in motion.	contradiction	motion	non_motion_one_hop	1	contradiction	1
James is stationary.	James is moving.	contradiction	motion	non_motion_one_hop	1	contradiction	1
James is stationary.	James is not stationary.	contradiction	motion	non_motion_one_hop	1	contradiction	1
James is stationary.	James is thinking.	neutral	motion	non_motion_one_hop	2	neutral	1
James is stationary.	James is meditating.	neutral	motion	non_motion_one_hop	2	neutral	1
Robert is not in motion.	Robert is not moving.	entailment	motion	non_motion_one_hop	0	entailment	1
Robert is not in motion.	Robert is stationary.	entailment	motion	non_motion_one_hop	0	entailment	1
Robert is not in motion.	Robert is in motion.	contradiction	motion	non_motion_one_hop	1	contradiction	1
Robert is not in motion.	Robert is moving.	contradiction	motion	non_motion_one_hop	1	contradiction	1
Robert is not in motion.	Robert is not stationary.	contradiction	motion	non_motion_one_hop	1	entailment	0
Robert is not in motion.	Robert is thinking.	neutral	motion	non_motion_one_hop	2	neutral	1
Robert is not in motion.	Robert is meditating.	neutral	motion	non_motion_one_hop	2	neutral	1
Robert is not moving.	Robert is not in motion.	entailment	motion	non_motion_one_hop	0	entailment	1
Robert is not moving.	Robert is stationary.	entailment	motion	non_motion_one_hop	0	entailment	1
Robert is not moving.	Robert is in motion.	contradiction	motion	non_motion_one_hop	1	contradiction	1
Robert is not moving.	Robert is moving.	contradiction	motion	non_motion_one_hop	1	contradiction	1
Robert is not moving.	Robert is not stationary.	contradiction	motion	non_motion_one_hop	1	entailment	0
Robert is not moving.	Robert is thinking.	neutral	motion	non_motion_one_hop	2	neutral	1
Robert is not moving.	Robert is meditating.	neutral	motion	non_motion_one_hop	2	neutral	1
Robert is stationary.	Robert is not in motion.	entailment	motion	non_motion_one_hop	0	entailment	1
Robert is stationary.	Robert is not moving.	entailment	motion	non_motion_one_hop	0	entailment	1
Robert is stationary.	Robert is in motion.	contradiction	motion	non_motion_one_hop	1	contradiction	1
Robert is stationary.	Robert is moving.	contradiction	motion	non_motion_one_hop	1	contradiction	1
Robert is stationary.	Robert is not stationary.	contradiction	motion	non_motion_one_hop	1	contradiction	1
Robert is stationary.	Robert is thinking.	neutral	motion	non_motion_one_hop	2	neutral	1
Robert is stationary.	Robert is meditating.	neutral	motion	non_motion_one_hop	2	neutral	1
Sophia is not in motion.	Sophia is not moving.	entailment	motion	non_motion_one_hop	0	entailment	1
Sophia is not in motion.	Sophia is stationary.	entailment	motion	non_motion_one_hop	0	entailment	1
Sophia is not in motion.	Sophia is in motion.	contradiction	motion	non_motion_one_hop	1	contradiction	1
Sophia is not in motion.	Sophia is moving.	contradiction	motion	non_motion_one_hop	1	contradiction	1
Sophia is not in motion.	Sophia is not stationary.	contradiction	motion	non_motion_one_hop	1	entailment	0
Sophia is not in motion.	Sophia is thinking.	neutral	motion	non_motion_one_hop	2	neutral	1
Sophia is not in motion.	Sophia is meditating.	neutral	motion	non_motion_one_hop	2	neutral	1
Sophia is not moving.	Sophia is not in motion.	entailment	motion	non_motion_one_hop	0	entailment	1
Sophia is not moving.	Sophia is stationary.	entailment	motion	non_motion_one_hop	0	entailment	1
Sophia is not moving.	Sophia is in motion.	contradiction	motion	non_motion_one_hop	1	contradiction	1
Sophia is not moving.	Sophia is moving.	contradiction	motion	non_motion_one_hop	1	contradiction	1
Sophia is not moving.	Sophia is not stationary.	contradiction	motion	non_motion_one_hop	1	entailment	0
Sophia is not moving.	Sophia is thinking.	neutral	motion	non_motion_one_hop	2	neutral	1
Sophia is not moving.	Sophia is meditating.	neutral	motion	non_motion_one_hop	2	neutral	1
Sophia is stationary.	Sophia is not in motion.	entailment	motion	non_motion_one_hop	0	entailment	1
Sophia is stationary.	Sophia is not moving.	entailment	motion	non_motion_one_hop	0	entailment	1
Sophia is stationary.	Sophia is in motion.	contradiction	motion	non_motion_one_hop	1	contradiction	1
Sophia is stationary.	Sophia is moving.	contradiction	motion	non_motion_one_hop	1	contradiction	1
Sophia is stationary.	Sophia is not stationary.	contradiction	motion	non_motion_one_hop	1	contradiction	1
Sophia is stationary.	Sophia is thinking.	neutral	motion	non_motion_one_hop	2	neutral	1
Sophia is stationary.	Sophia is meditating.	neutral	motion	non_motion_one_hop	2	neutral	1
Emma is not in motion.	Emma is not moving.	entailment	motion	non_motion_one_hop	0	entailment	1
Emma is not in motion.	Emma is stationary.	entailment	motion	non_motion_one_hop	0	entailment	1
Emma is not in motion.	Emma is in motion.	contradiction	motion	non_motion_one_hop	1	contradiction	1
Emma is not in motion.	Emma is moving.	contradiction	motion	non_motion_one_hop	1	contradiction	1
Emma is not in motion.	Emma is not stationary.	contradiction	motion	non_motion_one_hop	1	entailment	0
Emma is not in motion.	Emma is thinking.	neutral	motion	non_motion_one_hop	2	neutral	1
Emma is not in motion.	Emma is meditating.	neutral	motion	non_motion_one_hop	2	neutral	1
Emma is not moving.	Emma is not in motion.	entailment	motion	non_motion_one_hop	0	entailment	1
Emma is not moving.	Emma is stationary.	entailment	motion	non_motion_one_hop	0	entailment	1
Emma is not moving.	Emma is in motion.	contradiction	motion	non_motion_one_hop	1	contradiction	1
Emma is not moving.	Emma is moving.	contradiction	motion	non_motion_one_hop	1	contradiction	1
